"Query","Entrez","Symbol","Name","Comment"
"Slc34a2","20531","Slc34a2","solute carrier family 34 (sodium phosphate), member 2","1"
"Ssmem1","NA","NA","NA","0"
"Tmc5","74424","Tmc5","transmembrane channel-like gene family 5","1"
"Mep1b","17288","Mep1b","meprin 1 beta","1"
"Prap1","22264","Prap1","proline-rich acidic protein 1","1"
"Gpr21","338346","Gpr21","G protein-coupled receptor 21","1"
"2210407C18Rik","78354","2210407C18Rik","RIKEN cDNA 2210407C18 gene","1"
"Il9r","16199","Il9r","interleukin 9 receptor","1"
"Fzd3","14365","Fzd3","frizzled homolog 3 (Drosophila)","1"
"Stk32c","57740","Stk32c","serine/threonine kinase 32C","1"
"Faim3","69169","Faim3","Fas apoptotic inhibitory molecule 3","1"
"Coch","12810","Coch","coagulation factor C homolog (Limulus polyphemus)","1"
"Pacrg","69310","Pacrg","PARK2 co-regulated","1"
"4933402P03Rik","108803","4933402P03Rik","RIKEN cDNA 4933402P03 gene","1"
"Arg2","11847","Arg2","arginase type II","1"
"Ccer1","NA","NA","NA","0"
"Pcnxl2","270109","Pcnxl2","pecanex-like 2 (Drosophila)","1"
"Nup210l","77595","Nup210l","nucleoporin 210-like","1"
"Casc1","320662","Casc1","cancer susceptibility candidate 1","1"
"Lrrc10b","278795","Lrrc10b","leucine rich repeat containing 10B","1"
"Pou5f2","75507","Pou5f2","POU domain class 5, transcription factor 2","1"
"Samd5","320825","Samd5","sterile alpha motif domain containing 5","1"
"Cftr","12638","Cftr","cystic fibrosis transmembrane conductance regulator homolog","1"
"Tm4sf20","66261","Tm4sf20","transmembrane 4 L six family member 20","1"
"Sis","69983","Sis","sucrase isomaltase (alpha-glucosidase)","1"
"Krt20","66809","Krt20","keratin 20","1"
"Prss32","69814","Prss32","protease, serine, 32","1"
"2310007L24Rik","75573","2310007L24Rik","RIKEN cDNA 2310007L24 gene","1"
"Prtn3","19152","Prtn3","proteinase 3","1"
"Samd12","320679","Samd12","sterile alpha motif domain containing 12","1"
"Tac4","93670","Tac4","tachykinin 4","1"
"Olfm4","380924","Olfm4","olfactomedin 4","1"
"Orc1","18392","Orc1","origin recognition complex, subunit 1","1"
"Tsx","22127","Tsx","testis specific X-linked gene","1"
"Dchs2","229459","Dchs2","dachsous 2 (Drosophila)","1"
"Lpar4","78134","Lpar4","lysophosphatidic acid receptor 4","1"
"Mall","228576","Mall","mal, T cell differentiation protein-like","1"
"9330159N05Rik","319240","9330159N05Rik","RIKEN cDNA 9330159N05 gene","1"
"Rad51b","NA","NA","NA","0"
"Fez1","235180","Fez1","fasciculation and elongation protein zeta 1 (zygin I)","1"
"Gpx2","14776","Gpx2","glutathione peroxidase 2","1"
"Pcdhgb5","93702","Pcdhgb5","protocadherin gamma subfamily B, 5","1"
"Kcna3","16491","Kcna3","potassium voltage-gated channel, shaker-related subfamily, member 3","1"
"Ppp2r2b","72930","Ppp2r2b","protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), beta isoform","1"
"Btg3","12228","Btg3","B cell translocation gene 3","1"
"Ankrd13d","68423","Ankrd13d","ankyrin repeat domain 13 family, member D","1"
"Exo1","26909","Exo1","exonuclease 1","1"
"Sdr16c5","242285","Sdr16c5","short chain dehydrogenase/reductase family 16C, member 5","1"
"Mdga1","74762","Mdga1","MAM domain containing glycosylphosphatidylinositol anchor 1","1"
"Rs1","20147","Rs1","retinoschisis (X-linked, juvenile) 1 (human)","1"
"Serpinb1b","282663","Serpinb1b","serine (or cysteine) peptidase inhibitor, clade B, member 1b","1"
"Hist3h2ba","78303","Hist3h2ba","histone cluster 3, H2ba","1"
"Fam71b","432552","Fam71b","family with sequence similarity 71, member B","1"
"Tm4sf5","75604","Tm4sf5","transmembrane 4 superfamily member 5","1"
"Mfi2","30060","Mfi2","antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5","1"
"Muc13","17063","Muc13","mucin 13, epithelial transmembrane","1"
"Cdh17","12557","Cdh17","cadherin 17","1"
"Slc51a","NA","NA","NA","0"
"Sh3bgr","50795","Sh3bgr","SH3-binding domain glutamic acid-rich protein","1"
"Galnt3","14425","Galnt3","UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3","1"
"Gm6169","620648","Gm6169","proteolipid protein 2 pseudogene","1"
"Cep126","NA","NA","NA","0"
"Hbq1b","544763","Hbq1b","hemoglobin, theta 1B","1"
"Akap3","11642","Akap3","A kinase (PRKA) anchor protein 3","1"
"Tmem202","73893","Tmem202","transmembrane protein 202","1"
"Ces1a","244595","Ces1a","carboxylesterase 1A","1"
"Gm15448","100041146","Gm15448","predicted gene 15448","1"
"Corin","53419","Corin","corin","1"
"Pcdhga11","93723","Pcdhga11","protocadherin gamma subfamily A, 11","1"
"Hrh1","15465","Hrh1","histamine receptor H1","1"
"Slain1","105439","Slain1","SLAIN motif family, member 1","1"
"Ovol2","107586","Ovol2","ovo-like 2 (Drosophila)","1"
"Parpbp","NA","NA","NA","0"
"E230025N22Rik","240216","E230025N22Rik","Riken cDNA E230025N22 gene","1"
"Hmga2","15364","Hmga2","high mobility group AT-hook 2","1"
"6330409D20Rik","70730","6330409D20Rik","RIKEN cDNA 6330409D20 gene","1"
"Tex14","83560","Tex14","testis expressed gene 14","1"
"Slc1a1","20510","Slc1a1","solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1","1"
"Mip","17339","Mip","major intrinsic protein of eye lens fiber","1"
"Clec4b1","69810","Clec4b1","C-type lectin domain family 4, member b1","1"
"Phxr4","18689","Phxr4","per-hexamer repeat gene 4","1"
"Ptgs2","19225","Ptgs2","prostaglandin-endoperoxide synthase 2","1"
"Mcoln3","171166","Mcoln3","mucolipin 3","1"
"Gjb5","14622","Gjb5","gap junction protein, beta 5","1"
"Il23r","209590","Il23r","interleukin 23 receptor","1"
"Sost","74499","Sost","sclerostin","1"
"Ankef1","NA","NA","NA","0"
"2010109A12Rik","75610","2010109A12Rik","RIKEN cDNA 2010109A12 gene","1"
"Nccrp1","233038","Nccrp1","non-specific cytotoxic cell receptor protein 1 homolog (zebrafish)","1"
"Mybpc3","17868","Mybpc3","myosin binding protein C, cardiac","1"
"Plch2","269615","Plch2","phospholipase C, eta 2","1"
"Spdef","30051","Spdef","SAM pointed domain containing ets transcription factor","1"
"2010106E10Rik","67715","2010106E10Rik","RIKEN cDNA 2010106E10 gene","1"
"Lct","226413","Lct","lactase","1"
"Prss54","70993","Prss54","protease, serine, 54","1"
"Cetn1","26369","Cetn1","centrin 1","1"
"Btnl1","NA","NA","NA","0"
"Clca4b","NA","NA","NA","0"
"Il13ra2","16165","Il13ra2","interleukin 13 receptor, alpha 2","1"
"Gldn","235379","Gldn","gliomedin","1"
"Chgb","12653","Chgb","chromogranin B","1"
"Wisp2","22403","Wisp2","WNT1 inducible signaling pathway protein 2","1"
"Klk1b27","16619","Klk1b27","kallikrein 1-related peptidase b27","1"
"Gm128","229588","Gm128","predicted gene 128","1"
"Fjx1","14221","Fjx1","four jointed box 1 (Drosophila)","1"
"Mnda","381308","Mnda","myeloid cell nuclear differentiation antigen","1"
"Sncg","20618","Sncg","synuclein, gamma","1"
"Tmem27","57394","Tmem27","transmembrane protein 27","1"
"Efcab3","70894","Efcab3","EF-hand calcium binding domain 3","1"
"4933427G17Rik","74466","4933427G17Rik","RIKEN cDNA 4933427G17 gene","1"
"Nxph4","104080","Nxph4","neurexophilin 4","1"
"Hipk4","233020","Hipk4","homeodomain interacting protein kinase 4","1"
"Trem3","58218","Trem3","triggering receptor expressed on myeloid cells 3","1"
"Akap4","11643","Akap4","A kinase (PRKA) anchor protein 4","1"
"Foxe1","110805","Foxe1","forkhead box E1","1"
"Fam170b","105511","Fam170b","family with sequence similarity 170, member B","1"
"Oaz3","53814","Oaz3","ornithine decarboxylase antizyme 3","1"
"Odf1","18285","Odf1","outer dense fiber of sperm tails 1","1"
"Efnb3","13643","Efnb3","ephrin B3","1"
"Ska3","NA","NA","NA","0"
"Zfp811","240063","Zfp811","zinc finger protein 811","1"
"Lekr1","624866","Lekr1","leucine, glutamate and lysine rich 1","1"
"Gp9","54368","Gp9","glycoprotein 9 (platelet)","1"
"Kif20b","240641","Kif20b","kinesin family member 20B","1"
"Gm20517","NA","NA","NA","0"
"Kcnc4","99738","Kcnc4","potassium voltage gated channel, Shaw-related subfamily, member 4","1"
"Syngr4","58867","Syngr4","synaptogyrin 4","1"
"Cldn22","75677","Cldn22","claudin 22","1"
"Cd1d2","12480","Cd1d2","CD1d2 antigen","1"
"Sfrp2","20319","Sfrp2","secreted frizzled-related protein 2","1"
"Ror2","26564","Ror2","receptor tyrosine kinase-like orphan receptor 2","1"
"Tuba3a","22144","Tuba3a","tubulin, alpha 3A","1"
"B3galt5","93961","B3galt5","UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 5","1"
"Clic6","209195","Clic6","chloride intracellular channel 6","1"
"Diap3","56419","Diap3","diaphanous homolog 3 (Drosophila)","1"
"Klrb1b","80782","Klrb1b","killer cell lectin-like receptor subfamily B member 1B","1"
"Scrn1","69938","Scrn1","secernin 1","1"
"A830005F24Rik","442803","A830005F24Rik","RIKEN cDNA A830005F24 gene","1"
"Ryr1","20190","Ryr1","ryanodine receptor 1, skeletal muscle","1"
"Stox1","216021","Stox1","storkhead box 1","1"
"Zfp459","328274","Zfp459","zinc finger protein 459","1"
"Rpl3l","66211","Rpl3l","ribosomal protein L3-like","1"
"Tmem52","69671","Tmem52","transmembrane protein 52","1"
"Adgra1","NA","NA","NA","0"
"Iqca","74918","Iqca","IQ motif containing with AAA domain","1"
"Snph","241727","Snph","syntaphilin","1"
"Spaca1","67652","Spaca1","sperm acrosome associated 1","1"
"Isx","71597","Isx","intestine specific homeobox","1"
"Olfr701","66786","Olfr701","olfactory receptor 701","1"
"Actrt3","NA","NA","NA","0"
"Trpc5","22067","Trpc5","transient receptor potential cation channel, subfamily C, member 5","1"
"Gm9817","100303734","Gm9817","predicted gene 9817","1"
"Kcnmb4","58802","Kcnmb4","potassium large conductance calcium-activated channel, subfamily M, beta member 4","1"
"Ifng","15978","Ifng","interferon gamma","1"
"Fxyd3","17178","Fxyd3","FXYD domain-containing ion transport regulator 3","1"
"Gm10608","546165","Gm10608","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide pseudogene","1"
"Aff3","16764","Aff3","AF4/FMR2 family, member 3","1"
"Cnga2","12789","Cnga2","cyclic nucleotide gated channel alpha 2","1"
"Fam163a","329274","Fam163a","family with sequence similarity 163, member A","1"
"Popdc3","78977","Popdc3","popeye domain containing 3","1"
"Asb14","142687","Asb14","ankyrin repeat and SOCS box-containing 14","1"
"Cbr2","12409","Cbr2","carbonyl reductase 2","1"
"Trpv6","64177","Trpv6","transient receptor potential cation channel, subfamily V, member 6","1"
"Dusp9","75590","Dusp9","dual specificity phosphatase 9","1"
"Slc35f1","215085","Slc35f1","solute carrier family 35, member F1","1"
"Ccdc169","NA","NA","NA","0"
"Nyx","236690","Nyx","nyctalopin","1"
"Naaladl1","381204","Naaladl1","N-acetylated alpha-linked acidic dipeptidase-like 1","1"
"1700084C01Rik","78465","1700084C01Rik","RIKEN cDNA 1700084C01 gene","1"
"Gm10322","100039225","Gm10322","predicted gene 10322","1"
"AU022751","102991","AU022751","expressed sequence AU022751","1"
"Gm12394","100039205","Gm12394","predicted gene 12394","1"
"Cers1","NA","NA","NA","0"
"Vmn2r20","667180","Vmn2r20","vomeronasal 2, receptor 20","1"
"Dnah7c","NA","NA","NA","0"
"A530016L24Rik","319942","A530016L24Rik","RIKEN cDNA A530016L24 gene","1"
"Cd177","68891","Cd177","CD177 antigen","1"
"Cyp4f39","320997","Cyp4f39","cytochrome P450, family 4, subfamily f, polypeptide 39","1"
"Htr2b","15559","Htr2b","5-hydroxytryptamine (serotonin) receptor 2B","1"
"Wnt16","93735","Wnt16","wingless-related MMTV integration site 16","1"
"S100b","20203","S100b","S100 protein, beta polypeptide, neural","1"
"Krt222","268481","Krt222","keratin 222","1"
"Pcdhb13","93884","Pcdhb13","protocadherin beta 13","1"
"Stmn2","20257","Stmn2","stathmin-like 2","1"
"Catip","NA","NA","NA","0"
"Sh2d1b1","26904","Sh2d1b1","SH2 domain protein 1B1","1"
"Gm20379","100504735","Gm20379","predicted gene, 20379","1"
"Lamp3","239739","Lamp3","lysosomal-associated membrane protein 3","1"
"Lca5l","385668","Lca5l","Leber congenital amaurosis 5-like","1"
"Cdkn3","72391","Cdkn3","cyclin-dependent kinase inhibitor 3","1"
"Gm21786","NA","NA","NA","0"
"Stk26","NA","NA","NA","0"
"Syt5","53420","Syt5","synaptotagmin V","1"
"Ttc22","230576","Ttc22","tetratricopeptide repeat domain 22","1"
"Slc25a43","194744","Slc25a43","solute carrier family 25, member 43","1"
"Camp","12796","Camp","cathelicidin antimicrobial peptide","1"
"4933440N22Rik","74471","4933440N22Rik","RIKEN cDNA 4933440N22 gene","1"
"Dnajb7","57755","Dnajb7","DnaJ (Hsp40) homolog, subfamily B, member 7","1"
"Smcp","17235","Smcp","sperm mitochondria-associated cysteine-rich protein","1"
"Mgst2","211666","Mgst2","microsomal glutathione S-transferase 2","1"
"Pcdhga8","93716","Pcdhga8","protocadherin gamma subfamily A, 8","1"
"Ccdc150","78016","Ccdc150","coiled-coil domain containing 150","1"
"Igsf1","209268","Igsf1","immunoglobulin superfamily, member 1","1"
"Osbpl6","99031","Osbpl6","oxysterol binding protein-like 6","1"
"Prdm14","383491","Prdm14","PR domain containing 14","1"
"Zbtb8b","215627","Zbtb8b","zinc finger and BTB domain containing 8b","1"
"Gng10","14700","Gng10","guanine nucleotide binding protein (G protein), gamma 10","1"
"Slc12a8","171286","Slc12a8","solute carrier family 12 (potassium/chloride transporters), member 8","1"
"Cxcl13","55985","Cxcl13","chemokine (C-X-C motif) ligand 13","1"
"Atp8b3","67331","Atp8b3","ATPase, class I, type 8B, member 3","1"
"Tmco5","67356","Tmco5","transmembrane and coiled-coil domains 5","1"
"Izumo3","69314","Izumo3","IZUMO family member 3","1"
"Zfp92","22754","Zfp92","zinc finger protein 92","1"
"Adam18","13524","Adam18","a disintegrin and metallopeptidase domain 18","1"
"Scn10a","20264","Scn10a","sodium channel, voltage-gated, type X, alpha","1"
"Mlc1","170790","Mlc1","megalencephalic leukoencephalopathy with subcortical cysts 1 homolog (human)","1"
"Sobp","109205","Sobp","sine oculis-binding protein homolog (Drosophila)","1"
"Prr30","NA","NA","NA","0"
"Gpr15","71223","Gpr15","G protein-coupled receptor 15","1"
"Nanos3","244551","Nanos3","nanos homolog 3 (Drosophila)","1"
"1700042B14Rik","73347","1700042B14Rik","RIKEN cDNA 1700042B14 gene","1"
"Irgc1","210145","Irgc1","immunity-related GTPase family, cinema 1","1"
"Sox11","20666","Sox11","SRY-box containing gene 11","1"
"Ccr1l1","12770","Ccr1l1","chemokine (C-C motif) receptor 1-like 1","1"
"Actl11","NA","NA","NA","0"
"Klk1b21","16616","Klk1b21","kallikrein 1-related peptidase b21","1"
"Gml","625599","Gml","GPI anchored molecule like protein","1"
"Fbxw19","235612","Fbxw19","F-box and WD-40 domain protein 19","1"
"Hist1h2bb","319178","Hist1h2bb","histone cluster 1, H2bb","1"
"Tmco2","69469","Tmco2","transmembrane and coiled-coil domains 2","1"
"Dpy19l2","320752","Dpy19l2","dpy-19-like 2 (C. elegans)","1"
"Fam101a","73121","Fam101a","family with sequence similarity 101, member A","1"
"Il10","16153","Il10","interleukin 10","1"
"Pdcd1","18566","Pdcd1","programmed cell death 1","1"
"Tssk2","22115","Tssk2","testis-specific serine kinase 2","1"
"Lppr4","NA","NA","NA","0"
"Eno4","226265","Eno4","enolase 4","1"
"1810041L15Rik","72301","1810041L15Rik","RIKEN cDNA 1810041L15 gene","1"
"Cand2","67088","Cand2","cullin-associated and neddylation-dissociated 2 (putative)","1"
"4930415O20Rik","73863","4930415O20Rik","RIKEN cDNA 4930415O20 gene","1"
"Pde6h","78600","Pde6h","phosphodiesterase 6H, cGMP-specific, cone, gamma","1"
"Krt80","74127","Krt80","keratin 80","1"
"Il4","16189","Il4","interleukin 4","1"
"BC094916","545384","BC094916","cDNA sequence BC094916","1"
"Rhd","19746","Rhd","Rh blood group, D antigen","1"
"Ccnb1","268697","Ccnb1","cyclin B1","1"
"Scn7a","20272","Scn7a","sodium channel, voltage-gated, type VII, alpha","1"
"Tff3","21786","Tff3","trefoil factor 3, intestinal","1"
"Wnt7b","22422","Wnt7b","wingless-related MMTV integration site 7B","1"
"Myo15b","217328","Myo15b","myosin XVB","1"
"Zfp300","245368","Zfp300","zinc finger protein 300","1"
"Il27","246779","Il27","interleukin 27","1"
"Tubg2","103768","Tubg2","tubulin, gamma 2","1"
"Kcnj14","211480","Kcnj14","potassium inwardly-rectifying channel, subfamily J, member 14","1"
"Cks1brt","NA","NA","NA","0"
"Hist1h2ad","319165","Hist1h2ad","histone cluster 1, H2ad","1"
"Pira2","18725","Pira2","paired-Ig-like receptor A2","1"
"Pcdhga9","93717","Pcdhga9","protocadherin gamma subfamily A, 9","1"
"Tox2","269389","Tox2","TOX high mobility group box family member 2","1"
"Krt79","223917","Krt79","keratin 79","1"
"Lat","16797","Lat","linker for activation of T cells","1"
"Prm2","19119","Prm2","protamine 2","1"
"Hcar1","NA","NA","NA","0"
"Gm20449","NA","NA","NA","0"
"Sult2b1","54200","Sult2b1","sulfotransferase family, cytosolic, 2B, member 1","1"
"Runx2","12393","Runx2","runt related transcription factor 2","1"
"Eci3","69123","Eci3","enoyl-Coenzyme A delta isomerase 3","1"
"Ptgdr2","NA","NA","NA","0"
"Ncr1","17086","Ncr1","natural cytotoxicity triggering receptor 1","1"
"Snx31","66696","Snx31","sorting nexin 31","1"
"Slc6a19","74338","Slc6a19","solute carrier family 6 (neurotransmitter transporter), member 19","1"
"Dgkg","110197","Dgkg","diacylglycerol kinase, gamma","1"
"Btnl2","547431","Btnl2","butyrophilin-like 2","1"
"Mdh1b","76668","Mdh1b","malate dehydrogenase 1B, NAD (soluble)","1"
"Tbx15","21384","Tbx15","T-box 15","1"
"Ankrd7","75196","Ankrd7","ankyrin repeat domain 7","1"
"M1ap","NA","NA","NA","0"
"Slc5a2","246787","Slc5a2","solute carrier family 5 (sodium/glucose cotransporter), member 2","1"
"Tmed6","66269","Tmed6","transmembrane emp24 protein transport domain containing 6","1"
"Odf4","252868","Odf4","outer dense fiber of sperm tails 4","1"
"Rimklb","108653","Rimklb","ribosomal modification protein rimK-like family member B","1"
"Rell2","225392","Rell2","RELT-like 2","1"
"Serinc4","574418","Serinc4","serine incorporator 4","1"
"Clrn3","212070","Clrn3","clarin 3","1"
"Atp6v1e2","74915","Atp6v1e2","ATPase, H+ transporting, lysosomal V1 subunit E2","1"
"Hist1h3e","319151","Hist1h3e","histone cluster 1, H3e","1"
"Peg10","170676","Peg10","paternally expressed 10","1"
"Mmd2","75104","Mmd2","monocyte to macrophage differentiation-associated 2","1"
"St8sia1","20449","St8sia1","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1","1"
"Cyp2c69","100043108","Cyp2c69","cytochrome P450, family 2, subfamily c, polypeptide 69","1"
"BC035044","232406","BC035044","cDNA sequence BC035044","1"
"Klrb1c","17059","Klrb1c","killer cell lectin-like receptor subfamily B member 1C","1"
"Pkib","18768","Pkib","protein kinase inhibitor beta, cAMP dependent, testis specific","1"
"Vav3","57257","Vav3","vav 3 oncogene","1"
"Tekt4","71840","Tekt4","tektin 4","1"
"Marco","17167","Marco","macrophage receptor with collagenous structure","1"
"Fpr2","14289","Fpr2","formyl peptide receptor 2","1"
"Cdca2","108912","Cdca2","cell division cycle associated 2","1"
"Ggt1","14598","Ggt1","gamma-glutamyltransferase 1","1"
"Pcdhb10","93881","Pcdhb10","protocadherin beta 10","1"
"A4galt","239559","A4galt","alpha 1,4-galactosyltransferase","1"
"Shc2","216148","Shc2","SHC (Src homology 2 domain containing) transforming protein 2","1"
"Fam83d","71878","Fam83d","family with sequence similarity 83, member D","1"
"Calcr","12311","Calcr","calcitonin receptor","1"
"Pgf","18654","Pgf","placental growth factor","1"
"Ccdc64b","212733","Ccdc64b","coiled-coil domain containing 64B","1"
"Npl","74091","Npl","N-acetylneuraminate pyruvate lyase","1"
"Elavl3","15571","Elavl3","ELAV (embryonic lethal, abnormal vision, Drosophila)-like 3 (Hu antigen C)","1"
"Higd1b","75689","Higd1b","HIG1 domain family, member 1B","1"
"Sfrp4","20379","Sfrp4","secreted frizzled-related protein 4","1"
"Cacna2d3","12294","Cacna2d3","calcium channel, voltage-dependent, alpha2/delta subunit 3","1"
"Hrasls","27281","Hrasls","HRAS-like suppressor","1"
"Fam3b","52793","Fam3b","family with sequence similarity 3, member B","1"
"Padi3","18601","Padi3","peptidyl arginine deiminase, type III","1"
"Slc15a1","56643","Slc15a1","solute carrier family 15 (oligopeptide transporter), member 1","1"
"Nppc","18159","Nppc","natriuretic peptide type C","1"
"Rbp7","63954","Rbp7","retinol binding protein 7, cellular","1"
"Klrc1","16641","Klrc1","killer cell lectin-like receptor subfamily C, member 1","1"
"Me3","109264","Me3","malic enzyme 3, NADP(+)-dependent, mitochondrial","1"
"Trat1","77647","Trat1","T cell receptor associated transmembrane adaptor 1","1"
"Hsd17b14","66065","Hsd17b14","hydroxysteroid (17-beta) dehydrogenase 14","1"
"Trim66","330627","Trim66","tripartite motif-containing 66","1"
"Stk33","117229","Stk33","serine/threonine kinase 33","1"
"Ddx25","30959","Ddx25","DEAD (Asp-Glu-Ala-Asp) box polypeptide 25","1"
"Abcg4","192663","Abcg4","ATP-binding cassette, sub-family G (WHITE), member 4","1"
"Gm7879","665989","Gm7879","peptidyl prolyl isomerase H pseudogene","1"
"Ccl12","20293","Ccl12","chemokine (C-C motif) ligand 12","1"
"Ccr3","12771","Ccr3","chemokine (C-C motif) receptor 3","1"
"Akap2","11641","Akap2","A kinase (PRKA) anchor protein 2","1"
"Ccdc27","381580","Ccdc27","coiled-coil domain containing 27","1"
"Slc45a1","242773","Slc45a1","solute carrier family 45, member 1","1"
"Maneal","215090","Maneal","mannosidase, endo-alpha-like","1"
"Gpr61","229714","Gpr61","G protein-coupled receptor 61","1"
"Gpr1","241070","Gpr1","G protein-coupled receptor 1","1"
"Adamts12","239337","Adamts12","a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 12","1"
"Pcdhb16","93887","Pcdhb16","protocadherin beta 16","1"
"Fam69c","240479","Fam69c","family with sequence similarity 69, member C","1"
"Gm9869","791387","Gm9869","predicted gene 9869","1"
"Creb5","231991","Creb5","cAMP responsive element binding protein 5","1"
"Gm6792","627821","Gm6792","predicted gene 6792","1"
"Fam19a1","320265","Fam19a1","family with sequence similarity 19, member A1","1"
"Hydin","244653","Hydin","HYDIN, axonemal central pair apparatus protein","1"
"Dpp6","13483","Dpp6","dipeptidylpeptidase 6","1"
"BC049702","278255","BC049702","cDNA sequence BC049702","1"
"Gm10273","100039174","Gm10273","translocase of inner mitochondrial membrane 23 homolog pseudogene","1"
"Gpr179","217143","Gpr179","G protein-coupled receptor 179","1"
"Spef2","320277","Spef2","sperm flagellar 2","1"
"Gm15217","100041724","Gm15217","predicted gene 15217","1"
"Bcl2a1b","12045","Bcl2a1b","B cell leukemia/lymphoma 2 related protein A1b","1"
"S100a2","628324","S100a2","S100 calcium binding protein A2","1"
"Gm4767","210583","Gm4767","predicted gene 4767","1"
"Gm29096","NA","NA","NA","0"
